,Cr,Fe,Cd,Zn,Cu,Pb
ppiA,0.04461873426905339,-0.051947252746056986,-0.01596566268612264,0.022329004580653608,0.030843226833823807,0.006409322592823662
alsB,0.045594984896976186,-0.1628497072644943,-0.10176230123906214,0.014637134682749726,0.07734022217738373,0.08532683490538512
mutT,0.020164288527531073,-0.02210684496922055,0.02294704954723486,0.007343809535900022,0.021085472488086156,0.10821478906792409
xasA,0.014768005142612431,-0.0741267722829255,-0.04579637483653904,0.04227123202689485,0.033530758896300056,0.04737749335975595
shiA,0.040000393518524135,-0.09024231600863417,0.04105876713136056,0.0938383197233663,0.05953940574165749,0.032794812383760474
dcuA,0.007738088167126891,-0.07037138700824352,-0.023630004777860862,0.0009517517050993389,0.05493171876401353,0.06322654095327504
dinB,0.1541178410293677,-0.026879593767285662,0.05936193618600148,0.018469957342519834,0.004317608606554198,0.07463515228155446
chbA,0.07715629912611915,0.3577163873623805,-0.05323974913766129,0.0843267104229346,0.12894807520543825,0.05082915924625803
yncG,-0.0024185656025619245,-0.2318917294438504,-0.015319042847070913,0.02690303295671721,0.016816105749951647,0.06202055465866009
ybfG,0.02484169115011113,-0.09060977329817795,0.01984917198315438,-0.02345281203441965,0.017461415603104,0.035222057766138994
brnQ,-0.000995280837022373,-0.037379180904282994,-0.0025760349975517995,0.07109970826349213,0.030832981480348333,0.041844282996650495
b1997,0.07953761767837271,-0.11772531537064124,-0.002121974759087141,0.007779310360812795,0.04024100150793413,0.03479243386466377
glpA,0.029960993376023766,0.03308558678136742,0.020345025376315665,0.030515576268534583,0.06394948505278955,0.07043333921604825
cvpA,0.04638691395922411,-0.20136081709398101,0.04342363277589534,0.05859154145255354,0.023231027945939477,0.03142457661574695
ftsK,0.04629884135061593,-0.12018570490043709,0.050516633956393255,0.034826920470213026,0.04146889465972382,0.028906898140705278
mtr,-0.03058691631317609,-0.07710793063724952,0.008087219987337853,0.04664306031593178,-0.016642873245214268,0.007822415800263783
fadL,-0.008116411512123433,-0.02114570352932059,0.012968099477621859,0.004753914219428015,0.03717671339025713,0.03825853857129485
ybiJ,0.041111755486518714,-0.07139900527837012,-0.021861522346503293,0.026253417107053107,-0.014854225433338149,0.02480246926058613
ydgL,-0.022447036761273007,0.03705748674930885,0.08215797369112512,-0.01406449177277929,0.0492422447197425,0.026452687931032587
cadB,-0.0039506990754021205,-0.083381144959511,0.24346394425185244,-0.012302636916064164,-0.007138873998229083,0.031357956368598464
nupC,0.07557369103194035,0.058524794897492766,-0.10742318487718319,0.06460472955501573,0.05126787043463881,-0.021109751773562686
nmpC,0.2429609601275704,-0.1574478157064325,0.04067256503840723,0.06225332190880086,0.0498847734109026,0.03961554145927031
sodB,0.05188055711179976,-0.006926455320293077,0.44061105022711416,0.02351284746419434,0.0547468869812781,-0.022488442858186644
treB,0.016613187144705246,0.003801266044154862,0.011008836897521974,-0.01260558389025245,0.07272574360607442,0.010057391298127258
yqeG,0.1304797135438717,-0.12290401738617004,-0.05283683098942295,0.009405389687615687,0.03342650115401652,0.02052209878172635
ybiU,0.061883432596938896,-0.04783843633133742,0.6636911400021771,0.01669750052264181,0.01139621396736294,0.02432595069877477
rpoD,0.03531984504422743,-0.08071043098184835,0.009318608133474838,0.10653187493974195,0.017976071052327684,0.046313893733274845
fimD,-0.004463646018513423,-0.1275771622114115,0.022964358536257216,0.11993698737809169,0.04459079406255557,0.041820596767397855
fdhF,0.040707009838284826,-0.07229619741279024,0.02584302276970487,0.03279826403753055,0.036036414562459006,0.06970251610287305
ompG,0.006749147287405894,-7.811839861585582e-05,0.03406967558236233,0.042755997203314106,0.08537724552166952,0.0652772815912191
yeaU,0.021949024413676063,-0.07488672608062781,0.009776626656909891,0.009021129113680582,-0.027358450262418194,0.012653927327927276
mntR,0.004423610437461804,-0.058731982295032334,-0.0015231522458510093,0.048551602540888895,0.03746257227514645,0.06398842322714587
nudE,0.05474768667515603,0.007294933748933827,0.05736077085351824,0.00867890038111838,0.004097625618993364,0.07115364611395668
lpp,0.011470207247557382,-0.08581475128786316,-0.0020654110319838796,0.06454494182338404,0.025869742993711014,0.06138767267983311
yedX,0.01794945921092126,-0.11685492652334853,0.026076710878573994,-0.043315363828647466,0.01480487867210303,0.04211250518383896
yliI,0.09095568130964472,-0.13598471258456016,0.15309701993165967,-0.015612757721431612,0.025485405693332106,0.01925903090189854
yhhM,-0.008749917986169819,-0.07594979716081139,0.015113266459284827,0.054476318786219474,0.027573307499137018,0.06800543437245227
rcsA,-0.012304179579726838,-0.22043379105986016,0.030957366754121095,-0.1395200464705432,-0.00601422030080284,0.09429269821977172
ypdA,0.04393667300865596,-0.10224184501458351,0.008460625982751642,0.039358378027855495,0.0033543245254587886,0.07114318484362907
ybjN,0.039342507663353246,-0.056795617634783156,0.007692626079263866,0.07560078628680698,0.00811524041977426,0.07086381242883662
sirA,-0.001680239750911948,0.041977741982969864,-0.0006032198465460453,0.04104571289204085,0.017893046953911057,0.015249383647326333
agn43,0.008852973240662237,-0.04765248528525569,0.0191068784407501,0.04851139238915853,0.023191252408799927,0.06685714483488901
yjiT,-0.016551940721718394,-0.10488151065179724,0.0370577225803964,-0.003461653703120246,0.034263144748388694,0.059964559271166236
folA,0.06189264911964771,-0.08617526522084616,-0.0062088080658684475,0.017198680501947047,-0.005399681071104707,0.040214250308923075
norR,0.025522757052808126,-0.014700136414425252,0.07162515870302846,0.01523317155927456,0.0620535320909115,0.06874106308173977
mltC,-0.006371993509852245,-0.041217512425411204,-0.005131115447741588,-0.05291479756129159,-0.017010020931410626,0.01969450653896529
citT,0.011621255110460199,-0.07726942790921466,0.0012449184390453186,-0.008571429191146882,0.01637680912000754,0.029310444525736577
hemH,0.04991804171016976,-0.08713965893033881,0.0015138977586288574,0.06865172242469246,0.0338826744911063,0.04653844684203247
ygbI,0.026264415547463192,-0.014542649792339487,0.01987852585256421,-0.014249145513165643,0.054671509139378245,0.07120713200218927
yidC,0.0020505360293914367,0.021645446805789833,0.03414743625122762,0.07177468442913178,0.042039685965901116,0.05330067313179218
galE,-0.01599899317216572,-0.02345588519532038,-0.005923289805679092,0.05817397338011224,-0.013232217755432192,0.05538378977236427
dusC,0.009409310362301006,-0.011602052850100032,0.014936111006091784,0.06170659222765059,0.0030344963697121327,0.04825326013177223
ssuE,0.023039864817559593,-0.09517038441630088,0.016413150556700423,0.04083320379025823,0.02844334564027934,0.03921502337611134
purM,-0.04868960206244777,0.13368589485512253,0.005478445559501657,0.1171160567722413,0.05350067211933788,0.03120136626674063
hisL,0.035705263676628185,-0.01724222927230131,0.0038800423843227687,0.008866471321433839,0.02749997870092176,0.013630856082411874
yeiE,0.04119117551867777,-0.09560074986803252,0.017635143004514527,0.051024899252465825,0.04070059637835496,0.056326213820659686
leuS,-0.0009570726215032404,0.029111699983797007,-0.0058703374702153855,0.07127722871748081,0.02504566016784606,0.030198469008631566
ygiH,0.028930392284669447,-0.030915030136552293,0.01837659345780052,0.012797663608804154,0.04325332724630473,0.0493703972949885
cysK,0.047627868975112855,0.04563184622526585,0.02094712788628352,0.0170200210507077,0.04462746637865292,0.03405890266299146
yejO,-0.001229911517401459,-0.13224320551338836,0.012916889947108613,0.02278176597993843,0.04288188844373858,0.08293369056245536
rluE,0.0352474731084598,-0.026508393527755313,0.019595069082725132,0.001876538289449657,0.008090477681644106,0.02927713309191396
udp,0.023061555290506835,-0.03737869697038616,0.026119085876758413,0.08399461627768404,0.033471746748203246,0.02410262641541968
pheL,0.032753105958247465,0.0742326652554789,-0.001700149544705646,-0.003874182351891799,0.07444212034965914,0.05685622600673167
elaA,0.0077762839369307024,-0.12217367224119383,-0.014118603004857124,0.029716482370870618,0.02700187544051282,0.04431711348461275
alsR,0.010325008141718401,-0.04998073697895183,0.009353689947711697,0.06923267454364217,0.012497478051638365,0.07886189084627039
fxsA,0.019115835332251842,0.02970900935126413,0.0031990385294217005,0.0579495098890973,0.060502514239660195,0.10659411044896915
dapF,-0.0005897707102772185,-0.05761992513421991,0.009115469902576306,0.045378318969794176,0.19940811159131935,0.04833478644071932
ppiB,0.016382332710422335,-0.030717972827240397,0.017731709436225533,-0.010041731893678615,0.05292148654913347,0.07575274047457517
maeB,0.010058779305090224,-0.08623578366435337,0.01794478926585591,0.02746505014945778,0.039947784160383755,0.047984362660209445
cysQ,0.040935454401993476,-0.17176084579928996,0.010768816753712229,1.014469641850425,0.020183159006002746,0.3121331449279073
tyrB,-0.004786855755789201,-0.13620763539911676,0.012736232752740391,0.057706528687790144,0.03888089215535223,0.06449799000050226
ligT,-0.034563887420736635,-0.057545291733846426,0.1189740298987239,0.0724933469413533,0.02810537735752932,0.05859420890873379
frdA,0.12754565241174148,-0.2123012543421476,0.002299966144919042,0.03447136822261934,0.0643257503746737,0.07888854039511528
deoC,-0.011478254876257627,0.06260880844933558,0.0005782925526360274,0.08780564755419726,0.031030073493002932,0.021790441666340036
yajB,0.06245256110013154,-0.05972323289613853,0.024183113999590243,0.051223701988997554,0.06339065501685964,0.044132742559592424
ydiY,-0.046895267340306905,0.0029067980099213298,0.00035619122254657357,0.06420031454760441,0.06003266440356246,0.059125313617258535
metK,-0.002563407893697312,-0.022755324508371356,0.0463621034994769,0.03703808984617676,0.01904192319467081,0.052620775323690354
argA,0.012745863292553894,0.2470044333697486,0.02858762671076766,-0.028645073185559665,0.05585408626377616,0.04167741224169476
ybfF,0.030231617125449476,-0.010433035875890602,0.036998077802549864,0.004485118854546833,0.05211395051672171,0.07789016835248194
uvrA,0.005518781989929763,0.045195972083586326,0.038234079322004046,0.029554569710303895,0.01694975399693095,0.011719469444765518
ykgM,0.0351462227998741,0.12512854190011208,0.16890479525995444,-0.1462986699268369,0.1299884658105529,0.19973838524452314
lysR,0.04944327205111496,0.03590013447460149,-0.002522405642226657,-0.004160745331620487,0.04440555818426292,-0.004921963218605463
yccF,0.3378952503763498,0.014506047713257416,-0.04394139407197925,-0.016444247660000993,0.005792044899203232,0.008577616680677178
fruB,0.079575945601354,-0.019355834393738707,-0.029543197894332924,0.009063210415077457,-0.02001967386038294,-0.03972876980110859
ykgC,0.022799530590114143,-0.0014503589220076377,0.08021000139262228,-0.013305127928052796,0.02795897729121592,0.01420261213041789
metC,0.05788217630652279,-0.05869918130894953,-0.0879168750724006,-0.011079546443418343,0.057806393508321625,-0.00501150387961348
yecM,-0.05243497848603719,-0.07809374481014013,-0.020393430330520428,0.049639949961634684,0.015687150779312275,0.04051148823826702
nfo,-0.018903717611831204,-0.10827005796423711,0.027790516856652268,0.09583273447227966,0.01472688933048989,0.009781522881325229
ydiU,0.007375643104613742,-0.07758500617487689,0.04694885392537591,0.08401704958947459,0.0472615573491051,0.0536031926123406
gloA,0.042907168219741235,-0.03519072308449178,0.009381673290267827,0.09704943457309279,0.033259040525512276,0.05131988175478095
ybiV,0.04374853212007096,-0.011456308711327034,0.01924793466797404,0.06268345898909788,0.00789469236699844,0.03292490269648816
yfiF,0.0015944551862943314,-0.016111847883525484,0.02396195056101672,0.019840508884646495,0.05941431066283616,0.014515388745423475
ddlA,3.1947346767099726e-05,-0.09886246801777625,0.005446306244706,0.01712699608841891,0.037393760086015956,0.010322472313532888
ybdL,0.03455980352795474,-0.12387156789424238,0.03518135612804882,0.006494895032996855,0.05231320794769642,0.029619963147678695
ybhQ,0.019183908213378714,-0.007251964682460446,0.0006745295504827352,-0.03390131611728068,0.05281840092910957,0.032546599098749004
rof,0.03646327663742389,-0.08961800759482327,0.02997758240107455,0.0324207215401601,0.0498142850852363,0.02243717890719711
ybiF,0.013405037939794336,0.08209752088671933,0.01631283466910559,0.02629236837940447,0.0361094913417627,0.044618655426610775
rhlE,0.034271789387469075,0.14066376408038553,0.030990911364904523,0.004133687893349467,0.07111947809797275,0.009576136964697736
ybiN,0.02239415561430429,0.19084807950287586,0.021277459045752477,-0.01832361803314413,0.03503194623258757,0.008047471028493715
qseB,0.04287585237264763,-0.012504389591717891,0.009509743516874666,0.010287227093089655,0.030759394574516635,0.0424577276072256
mipA,0.05096935393172873,0.48352399605674135,0.430532299157643,0.9856337777751989,0.026181869337260136,0.324323211191086
ybjK,0.014412949852372032,0.001173211647426764,0.008006076882688952,0.05126333628473087,0.029587530814905873,-0.03610071304261214
sbmA,0.05059846557631874,-0.08390249779680231,0.031003129227847197,0.03322523145567158,0.04234299083211274,0.037335544063576524
zupT,-0.006029345524259071,0.02557827746643135,0.022193963619297086,0.11487965284190658,0.06804541914961097,0.03118334946829392
dsrA,0.011208134990274697,-0.024858218945741997,0.011215320009812435,0.020505202442455402,0.026904323244091487,0.007149196861313054
yafS,0.01821579223589216,-0.029426896033917304,0.02001515441735469,0.00872301882447717,0.028627834183922386,0.03605363534830093
ybbL,0.011141009093702107,-0.021134837192686447,-0.011059866404342932,0.051104541145501337,0.025229339742812103,0.01022478726496278
ecfG,0.029529543735704912,0.02970545524296798,-0.004819593328239603,-0.009860614511060314,0.03342590487879951,-0.010136280108342397
rcsC,0.04078498532331884,0.021479668314260736,0.0151078334230101,0.012200377454850352,0.05896919288849236,0.032187663727524914
dpiB,0.024911397339185133,-0.06953954232246669,0.0034130175925142416,0.03820837641138593,0.020660028747012903,0.04474376839836485
kdsB,0.003622278150560155,-0.05226897261315608,-0.010929660274779608,0.002241844514956396,0.00037532471610070105,0.010130447322955594
yqjI,0.20055946127000115,-0.025588523662448376,0.03303976147064969,0.037645451725004386,0.06087037797521694,0.031008721447595353
ypeA,0.02031679996757663,-0.1013339183095025,0.008029237069532947,0.04377250193099428,0.038516490844817834,0.04883918525043571
ydgH,0.004850264801818305,-0.09001280432941466,-0.021511188873002022,-0.08432007283126819,-0.001069995351762167,0.0023950022241802644
entS,0.02723787592930887,-0.10746386456172674,0.014578055132530717,0.09925624685196625,0.03921574103074359,0.036034766703014254
ybaY,0.028492979557480487,-0.283637313304709,-0.007004162991306557,0.020988193838497936,0.05392799622176191,0.0953311179618477
hofM,0.0013700388706764373,-0.06377599114973917,0.010248097236331724,0.011793006625606691,0.05275071259936054,0.04439228114646473
yegE,0.029650921000394185,-0.05622269066050569,0.0018649353228381597,0.09039523435944856,0.030543468994948968,0.032818948131909345
lolC,-0.024377201863221443,-0.05332996253513782,0.005631868998874061,0.025453070745109333,0.04645372101535894,0.01701776062122267
pgpB,0.024281412738570023,0.036838967272906434,0.0008748982967288773,0.09166865158635758,0.037738038395825006,0.05557114267357473
b3505,-0.0057413992426622535,0.0073323637250836135,-0.01224077613228927,0.04439067834579032,0.037810396510640894,0.02367327873307383
yfeN,0.03069357310683361,-0.07217013916106432,0.023379567780143693,-0.032089416558573815,0.038282810614734375,0.021659992261432552
pepT,-0.0073620896926452056,-0.10538232196911662,-1.8530971915755004e-05,-0.11085905463964271,0.05363964501523135,0.08696771005409183
yfdC,0.07290200505065127,-0.14534904570068033,-0.020947475591726702,-0.08379733833432845,0.04273360728342063,0.042671015170521215
htrL,-0.008951791719317578,-0.0022759969382133297,0.12479634672030519,0.04214605723983379,0.030092530062616914,0.0505453783481104
yqgA,0.01711294076930518,-0.09396122472660466,0.00891219608113485,0.0011705169764734806,0.021699077628730645,0.04199170353116192
znuC,0.07084939934281702,-0.060107251866011416,-0.02933348547188891,-0.2339233626025484,0.06081133611810354,-0.06250947514595835
ecfD,-0.0075555869176845815,-0.004986201138593884,0.008303351336836396,0.10607068403471531,0.024612520695411984,0.05927545531311006
rplT,0.020665663113939782,-0.029169559355363608,-0.0239072776478487,0.06208902065696036,-0.00318744859885956,0.04178731476324866
